Account Number,Category Name,Parent Category,Path
3002000,Gross Service Revenue,Gross Revenue,Dent Wizard > EBITDA > Gross Profit > Net Revenue > Gross Revenue > Gross Service Revenue
3003000,Gross Service Revenue,Gross Revenue,Dent Wizard > EBITDA > Gross Profit > Net Revenue > Gross Revenue > Gross Service Revenue
3004000,Gross Service Revenue,Gross Revenue,Dent Wizard > EBITDA > Gross Profit > Net Revenue > Gross Revenue > Gross Service Revenue
3005000,Gross Service Revenue,Gross Revenue,Dent Wizard > EBITDA > Gross Profit > Net Revenue > Gross Revenue > Gross Service Revenue
3005500,Gross Service Revenue,Gross Revenue,Dent Wizard > EBITDA > Gross Profit > Net Revenue > Gross Revenue > Gross Service Revenue
3006000,Gross Service Revenue,Gross Revenue,Dent Wizard > EBITDA > Gross Profit > Net Revenue > Gross Revenue > Gross Service Revenue
3007000,Gross Service Revenue,Gross Revenue,Dent Wizard > EBITDA > Gross Profit > Net Revenue > Gross Revenue > Gross Service Revenue
3008000,Gross Service Revenue,Gross Revenue,Dent Wizard > EBITDA > Gross Profit > Net Revenue > Gross Revenue > Gross Service Revenue
3009000,Gross Service Revenue,Gross Revenue,Dent Wizard > EBITDA > Gross Profit > Net Revenue > Gross Revenue > Gross Service Revenue
3391000,Gross Service Revenue,Gross Revenue,Dent Wizard > EBITDA > Gross Profit > Net Revenue > Gross Revenue > Gross Service Revenue
3080000,Other Revenue,Gross Revenue,Dent Wizard > EBITDA > Gross Profit > Net Revenue > Gross Revenue > Other Revenue
3081000,Other Revenue,Gross Revenue,Dent Wizard > EBITDA > Gross Profit > Net Revenue > Gross Revenue > Other Revenue
3082000,Other Revenue,Gross Revenue,Dent Wizard > EBITDA > Gross Profit > Net Revenue > Gross Revenue > Other Revenue
3310000,Other Revenue,Gross Revenue,Dent Wizard > EBITDA > Gross Profit > Net Revenue > Gross Revenue > Other Revenue
3385000,Other Revenue,Gross Revenue,Dent Wizard > EBITDA > Gross Profit > Net Revenue > Gross Revenue > Other Revenue
3386000,Other Revenue,Gross Revenue,Dent Wizard > EBITDA > Gross Profit > Net Revenue > Gross Revenue > Other Revenue
3388000,Other Revenue,Gross Revenue,Dent Wizard > EBITDA > Gross Profit > Net Revenue > Gross Revenue > Other Revenue
3388100,Other Revenue,Gross Revenue,Dent Wizard > EBITDA > Gross Profit > Net Revenue > Gross Revenue > Other Revenue
3389000,Other Revenue,Gross Revenue,Dent Wizard > EBITDA > Gross Profit > Net Revenue > Gross Revenue > Other Revenue
3390000,Other Revenue,Gross Revenue,Dent Wizard > EBITDA > Gross Profit > Net Revenue > Gross Revenue > Other Revenue
3392000,Other Revenue,Gross Revenue,Dent Wizard > EBITDA > Gross Profit > Net Revenue > Gross Revenue > Other Revenue
3381000,F&I Revenue,Gross Revenue,Dent Wizard > EBITDA > Gross Profit > Net Revenue > Gross Revenue > F&I Revenue
3030000,Discounts,Net Revenue,Dent Wizard > EBITDA > Gross Profit > Net Revenue > Discounts
3031000,Discounts,Net Revenue,Dent Wizard > EBITDA > Gross Profit > Net Revenue > Discounts
3032000,Discounts,Net Revenue,Dent Wizard > EBITDA > Gross Profit > Net Revenue > Discounts
3032100,Discounts,Net Revenue,Dent Wizard > EBITDA > Gross Profit > Net Revenue > Discounts
4001000,Tech Wages,Tech COS - LSR,Dent Wizard > EBITDA > Gross Profit > Tech Cost of Sales > Tech COS - LSR > Tech Wages
4002000,Tech Wages,Tech COS - LSR,Dent Wizard > EBITDA > Gross Profit > Tech Cost of Sales > Tech COS - LSR > Tech Wages
4003000,Tech Wages,Tech COS - LSR,Dent Wizard > EBITDA > Gross Profit > Tech Cost of Sales > Tech COS - LSR > Tech Wages
4004000,Tech Wages,Tech COS - LSR,Dent Wizard > EBITDA > Gross Profit > Tech Cost of Sales > Tech COS - LSR > Tech Wages
4004100,Tech Wages,Tech COS - LSR,Dent Wizard > EBITDA > Gross Profit > Tech Cost of Sales > Tech COS - LSR > Tech Wages
4005000,Tech Wages,Tech COS - LSR,Dent Wizard > EBITDA > Gross Profit > Tech Cost of Sales > Tech COS - LSR > Tech Wages
4006000,Tech Benefits & Taxes,Tech COS - LSR,Dent Wizard > EBITDA > Gross Profit > Tech Cost of Sales > Tech COS - LSR > Tech Benefits & Taxes
4007000,Tech Benefits & Taxes,Tech COS - LSR,Dent Wizard > EBITDA > Gross Profit > Tech Cost of Sales > Tech COS - LSR > Tech Benefits & Taxes
4008000,Tech Benefits & Taxes,Tech COS - LSR,Dent Wizard > EBITDA > Gross Profit > Tech Cost of Sales > Tech COS - LSR > Tech Benefits & Taxes
4009000,Tech Benefits & Taxes,Tech COS - LSR,Dent Wizard > EBITDA > Gross Profit > Tech Cost of Sales > Tech COS - LSR > Tech Benefits & Taxes
4011000,Tech Benefits & Taxes,Tech COS - LSR,Dent Wizard > EBITDA > Gross Profit > Tech Cost of Sales > Tech COS - LSR > Tech Benefits & Taxes
4012000,Tech Benefits & Taxes,Tech COS - LSR,Dent Wizard > EBITDA > Gross Profit > Tech Cost of Sales > Tech COS - LSR > Tech Benefits & Taxes
4013000,Tech Benefits & Taxes,Tech COS - LSR,Dent Wizard > EBITDA > Gross Profit > Tech Cost of Sales > Tech COS - LSR > Tech Benefits & Taxes
4014000,Sublet Labor,Tech COS - LSR,Dent Wizard > EBITDA > Gross Profit > Tech Cost of Sales > Tech COS - LSR > Sublet Labor
4015000,Tech Supplies,Tech COS - Other,Dent Wizard > EBITDA > Gross Profit > Tech Cost of Sales > Tech COS - Other > Tech Supplies
4015500,Tech Supplies,Tech COS - Other,Dent Wizard > EBITDA > Gross Profit > Tech Cost of Sales > Tech COS - Other > Tech Supplies
4016000,Tech Supplies,Tech COS - Other,Dent Wizard > EBITDA > Gross Profit > Tech Cost of Sales > Tech COS - Other > Tech Supplies
4017000,Tech Supplies,Tech COS - Other,Dent Wizard > EBITDA > Gross Profit > Tech Cost of Sales > Tech COS - Other > Tech Supplies
4017800,Tech Supplies,Tech COS - Other,Dent Wizard > EBITDA > Gross Profit > Tech Cost of Sales > Tech COS - Other > Tech Supplies
4018000,Tech Supplies,Tech COS - Other,Dent Wizard > EBITDA > Gross Profit > Tech Cost of Sales > Tech COS - Other > Tech Supplies
4018500,Tech Supplies,Tech COS - Other,Dent Wizard > EBITDA > Gross Profit > Tech Cost of Sales > Tech COS - Other > Tech Supplies
4018600,Tech Supplies,Tech COS - Other,Dent Wizard > EBITDA > Gross Profit > Tech Cost of Sales > Tech COS - Other > Tech Supplies
4018700,Tech Supplies,Tech COS - Other,Dent Wizard > EBITDA > Gross Profit > Tech Cost of Sales > Tech COS - Other > Tech Supplies
4019000,Tech Supplies,Tech COS - Other,Dent Wizard > EBITDA > Gross Profit > Tech Cost of Sales > Tech COS - Other > Tech Supplies
4020000,Tech Supplies,Tech COS - Other,Dent Wizard > EBITDA > Gross Profit > Tech Cost of Sales > Tech COS - Other > Tech Supplies
4021000,Tech Supplies,Tech COS - Other,Dent Wizard > EBITDA > Gross Profit > Tech Cost of Sales > Tech COS - Other > Tech Supplies
4022000,Tech Supplies,Tech COS - Other,Dent Wizard > EBITDA > Gross Profit > Tech Cost of Sales > Tech COS - Other > Tech Supplies
4023000,Tech Supplies,Tech COS - Other,Dent Wizard > EBITDA > Gross Profit > Tech Cost of Sales > Tech COS - Other > Tech Supplies
4027000,Tech Vehicle Expenses,Tech COS - Other,Dent Wizard > EBITDA > Gross Profit > Tech Cost of Sales > Tech COS - Other > Tech Vehicle Expenses
4028000,Tech Vehicle Expenses,Tech COS - Other,Dent Wizard > EBITDA > Gross Profit > Tech Cost of Sales > Tech COS - Other > Tech Vehicle Expenses
4029000,Tech Vehicle Expenses,Tech COS - Other,Dent Wizard > EBITDA > Gross Profit > Tech Cost of Sales > Tech COS - Other > Tech Vehicle Expenses
4030000,Tech Vehicle Expenses,Tech COS - Other,Dent Wizard > EBITDA > Gross Profit > Tech Cost of Sales > Tech COS - Other > Tech Vehicle Expenses
4031000,Tech Vehicle Expenses,Tech COS - Other,Dent Wizard > EBITDA > Gross Profit > Tech Cost of Sales > Tech COS - Other > Tech Vehicle Expenses
4032000,Tech Vehicle Expenses,Tech COS - Other,Dent Wizard > EBITDA > Gross Profit > Tech Cost of Sales > Tech COS - Other > Tech Vehicle Expenses
4033000,Tech Vehicle Expenses,Tech COS - Other,Dent Wizard > EBITDA > Gross Profit > Tech Cost of Sales > Tech COS - Other > Tech Vehicle Expenses
4034000,Tech Vehicle Expenses,Tech COS - Other,Dent Wizard > EBITDA > Gross Profit > Tech Cost of Sales > Tech COS - Other > Tech Vehicle Expenses
4035000,Tech Vehicle Expenses,Tech COS - Other,Dent Wizard > EBITDA > Gross Profit > Tech Cost of Sales > Tech COS - Other > Tech Vehicle Expenses
4036000,Tech Travel & Entertainment,Tech COS - Other,Dent Wizard > EBITDA > Gross Profit > Tech Cost of Sales > Tech COS - Other > Tech Travel & Entertainment
4037000,Tech Travel & Entertainment,Tech COS - Other,Dent Wizard > EBITDA > Gross Profit > Tech Cost of Sales > Tech COS - Other > Tech Travel & Entertainment
4038000,Tech Travel & Entertainment,Tech COS - Other,Dent Wizard > EBITDA > Gross Profit > Tech Cost of Sales > Tech COS - Other > Tech Travel & Entertainment
4039000,Tech Cellphones,Tech COS - Other,Dent Wizard > EBITDA > Gross Profit > Tech Cost of Sales > Tech COS - Other > Tech Cellphones
4040000,Tech Cellphones,Tech COS - Other,Dent Wizard > EBITDA > Gross Profit > Tech Cost of Sales > Tech COS - Other > Tech Cellphones
4041000,Tech Other,Tech COS - Other,Dent Wizard > EBITDA > Gross Profit > Tech Cost of Sales > Tech COS - Other > Tech Other
4042000,Tech Other,Tech COS - Other,Dent Wizard > EBITDA > Gross Profit > Tech Cost of Sales > Tech COS - Other > Tech Other
4042500,Tech Other,Tech COS - Other,Dent Wizard > EBITDA > Gross Profit > Tech Cost of Sales > Tech COS - Other > Tech Other
4043000,Tech Other,Tech COS - Other,Dent Wizard > EBITDA > Gross Profit > Tech Cost of Sales > Tech COS - Other > Tech Other
4044000,Tech Other,Tech COS - Other,Dent Wizard > EBITDA > Gross Profit > Tech Cost of Sales > Tech COS - Other > Tech Other
4045000,Tech Other,Tech COS - Other,Dent Wizard > EBITDA > Gross Profit > Tech Cost of Sales > Tech COS - Other > Tech Other
4080000,Tech Other,Tech COS - Other,Dent Wizard > EBITDA > Gross Profit > Tech Cost of Sales > Tech COS - Other > Tech Other
4081000,Tech Other,Tech COS - Other,Dent Wizard > EBITDA > Gross Profit > Tech Cost of Sales > Tech COS - Other > Tech Other
5001000,SG&A Wages,SG&A - People Expenses,Dent Wizard > EBITDA > Total SG&A > SG&A - People Expenses > SG&A Wages
5002000,SG&A Wages,SG&A - People Expenses,Dent Wizard > EBITDA > Total SG&A > SG&A - People Expenses > SG&A Wages
5003000,SG&A Wages,SG&A - People Expenses,Dent Wizard > EBITDA > Total SG&A > SG&A - People Expenses > SG&A Wages
5004000,SG&A Wages,SG&A - People Expenses,Dent Wizard > EBITDA > Total SG&A > SG&A - People Expenses > SG&A Wages
5004500,SG&A Wages,SG&A - People Expenses,Dent Wizard > EBITDA > Total SG&A > SG&A - People Expenses > SG&A Wages
5005000,SG&A Wages,SG&A - People Expenses,Dent Wizard > EBITDA > Total SG&A > SG&A - People Expenses > SG&A Wages
5006000,SG&A Benefits,SG&A - People Expenses,Dent Wizard > EBITDA > Total SG&A > SG&A - People Expenses > SG&A Benefits
5007000,SG&A Benefits,SG&A - People Expenses,Dent Wizard > EBITDA > Total SG&A > SG&A - People Expenses > SG&A Benefits
5008000,SG&A Benefits,SG&A - People Expenses,Dent Wizard > EBITDA > Total SG&A > SG&A - People Expenses > SG&A Benefits
5009000,SG&A Benefits,SG&A - People Expenses,Dent Wizard > EBITDA > Total SG&A > SG&A - People Expenses > SG&A Benefits
5011000,SG&A Benefits,SG&A - People Expenses,Dent Wizard > EBITDA > Total SG&A > SG&A - People Expenses > SG&A Benefits
5012000,SG&A Benefits,SG&A - People Expenses,Dent Wizard > EBITDA > Total SG&A > SG&A - People Expenses > SG&A Benefits
5013000,SG&A Benefits,SG&A - People Expenses,Dent Wizard > EBITDA > Total SG&A > SG&A - People Expenses > SG&A Benefits
5027000,SG&A Vehicle,SG&A - Non-People Expenses,Dent Wizard > EBITDA > Total SG&A > SG&A - Non-People Expenses > SG&A Vehicle
5028000,SG&A Vehicle,SG&A - Non-People Expenses,Dent Wizard > EBITDA > Total SG&A > SG&A - Non-People Expenses > SG&A Vehicle
5029000,SG&A Vehicle,SG&A - Non-People Expenses,Dent Wizard > EBITDA > Total SG&A > SG&A - Non-People Expenses > SG&A Vehicle
5030000,SG&A Vehicle,SG&A - Non-People Expenses,Dent Wizard > EBITDA > Total SG&A > SG&A - Non-People Expenses > SG&A Vehicle
5031000,SG&A Vehicle,SG&A - Non-People Expenses,Dent Wizard > EBITDA > Total SG&A > SG&A - Non-People Expenses > SG&A Vehicle
5032000,SG&A Vehicle,SG&A - Non-People Expenses,Dent Wizard > EBITDA > Total SG&A > SG&A - Non-People Expenses > SG&A Vehicle
5033000,SG&A Vehicle,SG&A - Non-People Expenses,Dent Wizard > EBITDA > Total SG&A > SG&A - Non-People Expenses > SG&A Vehicle
5034000,SG&A Vehicle,SG&A - Non-People Expenses,Dent Wizard > EBITDA > Total SG&A > SG&A - Non-People Expenses > SG&A Vehicle
5035000,SG&A Vehicle,SG&A - Non-People Expenses,Dent Wizard > EBITDA > Total SG&A > SG&A - Non-People Expenses > SG&A Vehicle
5036000,SG&A Travel & Entertainment,SG&A - Non-People Expenses,Dent Wizard > EBITDA > Total SG&A > SG&A - Non-People Expenses > SG&A Travel & Entertainment
5037000,SG&A Travel & Entertainment,SG&A - Non-People Expenses,Dent Wizard > EBITDA > Total SG&A > SG&A - Non-People Expenses > SG&A Travel & Entertainment
5038000,SG&A Travel & Entertainment,SG&A - Non-People Expenses,Dent Wizard > EBITDA > Total SG&A > SG&A - Non-People Expenses > SG&A Travel & Entertainment
5039000,SG&A Cellphones,SG&A - Non-People Expenses,Dent Wizard > EBITDA > Total SG&A > SG&A - Non-People Expenses > SG&A Cellphones
5040000,SG&A Cellphones,SG&A - Non-People Expenses,Dent Wizard > EBITDA > Total SG&A > SG&A - Non-People Expenses > SG&A Cellphones
5044000,SG&A Employee Relations,SG&A - Non-People Expenses,Dent Wizard > EBITDA > Total SG&A > SG&A - Non-People Expenses > SG&A Employee Relations
5045000,SG&A Employee Relations,SG&A - Non-People Expenses,Dent Wizard > EBITDA > Total SG&A > SG&A - Non-People Expenses > SG&A Employee Relations
5046000,SG&A Employee Relations,SG&A - Non-People Expenses,Dent Wizard > EBITDA > Total SG&A > SG&A - Non-People Expenses > SG&A Employee Relations
5047000,SG&A Employee Relations,SG&A - Non-People Expenses,Dent Wizard > EBITDA > Total SG&A > SG&A - Non-People Expenses > SG&A Employee Relations
5048000,SG&A Employee Relations,SG&A - Non-People Expenses,Dent Wizard > EBITDA > Total SG&A > SG&A - Non-People Expenses > SG&A Employee Relations
5049000,SG&A Supplies,SG&A - Non-People Expenses,Dent Wizard > EBITDA > Total SG&A > SG&A - Non-People Expenses > SG&A Supplies
5051000,SG&A Supplies,SG&A - Non-People Expenses,Dent Wizard > EBITDA > Total SG&A > SG&A - Non-People Expenses > SG&A Supplies
5052000,SG&A Supplies,SG&A - Non-People Expenses,Dent Wizard > EBITDA > Total SG&A > SG&A - Non-People Expenses > SG&A Supplies
5053000,SG&A Supplies,SG&A - Non-People Expenses,Dent Wizard > EBITDA > Total SG&A > SG&A - Non-People Expenses > SG&A Supplies
5054000,SG&A Supplies,SG&A - Non-People Expenses,Dent Wizard > EBITDA > Total SG&A > SG&A - Non-People Expenses > SG&A Supplies
5055000,SG&A Supplies,SG&A - Non-People Expenses,Dent Wizard > EBITDA > Total SG&A > SG&A - Non-People Expenses > SG&A Supplies
5056000,SG&A Supplies,SG&A - Non-People Expenses,Dent Wizard > EBITDA > Total SG&A > SG&A - Non-People Expenses > SG&A Supplies
5057000,SG&A Facility Expenses,SG&A - Non-People Expenses,Dent Wizard > EBITDA > Total SG&A > SG&A - Non-People Expenses > SG&A Facility Expenses
5058000,SG&A Facility Expenses,SG&A - Non-People Expenses,Dent Wizard > EBITDA > Total SG&A > SG&A - Non-People Expenses > SG&A Facility Expenses
5059000,SG&A Facility Expenses,SG&A - Non-People Expenses,Dent Wizard > EBITDA > Total SG&A > SG&A - Non-People Expenses > SG&A Facility Expenses
5060000,SG&A Facility Expenses,SG&A - Non-People Expenses,Dent Wizard > EBITDA > Total SG&A > SG&A - Non-People Expenses > SG&A Facility Expenses
5061000,SG&A Facility Expenses,SG&A - Non-People Expenses,Dent Wizard > EBITDA > Total SG&A > SG&A - Non-People Expenses > SG&A Facility Expenses
5063000,SG&A Advertising & Marketing,SG&A - Non-People Expenses,Dent Wizard > EBITDA > Total SG&A > SG&A - Non-People Expenses > SG&A Advertising & Marketing
5066000,SG&A Advertising & Marketing,SG&A - Non-People Expenses,Dent Wizard > EBITDA > Total SG&A > SG&A - Non-People Expenses > SG&A Advertising & Marketing
5067000,SG&A Advertising & Marketing,SG&A - Non-People Expenses,Dent Wizard > EBITDA > Total SG&A > SG&A - Non-People Expenses > SG&A Advertising & Marketing
5068000,SG&A Advertising & Marketing,SG&A - Non-People Expenses,Dent Wizard > EBITDA > Total SG&A > SG&A - Non-People Expenses > SG&A Advertising & Marketing
5069000,SG&A Advertising & Marketing,SG&A - Non-People Expenses,Dent Wizard > EBITDA > Total SG&A > SG&A - Non-People Expenses > SG&A Advertising & Marketing
5070000,SG&A Advertising & Marketing,SG&A - Non-People Expenses,Dent Wizard > EBITDA > Total SG&A > SG&A - Non-People Expenses > SG&A Advertising & Marketing
5071000,SG&A Advertising & Marketing,SG&A - Non-People Expenses,Dent Wizard > EBITDA > Total SG&A > SG&A - Non-People Expenses > SG&A Advertising & Marketing
5072000,SG&A Advertising & Marketing,SG&A - Non-People Expenses,Dent Wizard > EBITDA > Total SG&A > SG&A - Non-People Expenses > SG&A Advertising & Marketing
5073000,SG&A Advertising & Marketing,SG&A - Non-People Expenses,Dent Wizard > EBITDA > Total SG&A > SG&A - Non-People Expenses > SG&A Advertising & Marketing
5074000,SG&A Advertising & Marketing,SG&A - Non-People Expenses,Dent Wizard > EBITDA > Total SG&A > SG&A - Non-People Expenses > SG&A Advertising & Marketing
5078000,SG&A Advertising & Marketing,SG&A - Non-People Expenses,Dent Wizard > EBITDA > Total SG&A > SG&A - Non-People Expenses > SG&A Advertising & Marketing
5078100,SG&A Advertising & Marketing,SG&A - Non-People Expenses,Dent Wizard > EBITDA > Total SG&A > SG&A - Non-People Expenses > SG&A Advertising & Marketing
5078200,SG&A Advertising & Marketing,SG&A - Non-People Expenses,Dent Wizard > EBITDA > Total SG&A > SG&A - Non-People Expenses > SG&A Advertising & Marketing
5036500,SG&A Other,SG&A - Non-People Expenses,Dent Wizard > EBITDA > Total SG&A > SG&A - Non-People Expenses > SG&A Other
5041000,SG&A Other,SG&A - Non-People Expenses,Dent Wizard > EBITDA > Total SG&A > SG&A - Non-People Expenses > SG&A Other
5080000,SG&A Other,SG&A - Non-People Expenses,Dent Wizard > EBITDA > Total SG&A > SG&A - Non-People Expenses > SG&A Other
5081000,SG&A Other,SG&A - Non-People Expenses,Dent Wizard > EBITDA > Total SG&A > SG&A - Non-People Expenses > SG&A Other
5082000,SG&A Other,SG&A - Non-People Expenses,Dent Wizard > EBITDA > Total SG&A > SG&A - Non-People Expenses > SG&A Other
5083000,SG&A Other,SG&A - Non-People Expenses,Dent Wizard > EBITDA > Total SG&A > SG&A - Non-People Expenses > SG&A Other
5084000,SG&A Other,SG&A - Non-People Expenses,Dent Wizard > EBITDA > Total SG&A > SG&A - Non-People Expenses > SG&A Other
5085000,SG&A Other,SG&A - Non-People Expenses,Dent Wizard > EBITDA > Total SG&A > SG&A - Non-People Expenses > SG&A Other
5086000,SG&A Other,SG&A - Non-People Expenses,Dent Wizard > EBITDA > Total SG&A > SG&A - Non-People Expenses > SG&A Other
5087000,SG&A Other,SG&A - Non-People Expenses,Dent Wizard > EBITDA > Total SG&A > SG&A - Non-People Expenses > SG&A Other
5088000,SG&A Other,SG&A - Non-People Expenses,Dent Wizard > EBITDA > Total SG&A > SG&A - Non-People Expenses > SG&A Other
5089000,SG&A Other,SG&A - Non-People Expenses,Dent Wizard > EBITDA > Total SG&A > SG&A - Non-People Expenses > SG&A Other
5089100,SG&A Other,SG&A - Non-People Expenses,Dent Wizard > EBITDA > Total SG&A > SG&A - Non-People Expenses > SG&A Other
5090000,SG&A Other,SG&A - Non-People Expenses,Dent Wizard > EBITDA > Total SG&A > SG&A - Non-People Expenses > SG&A Other
5091000,SG&A Other,SG&A - Non-People Expenses,Dent Wizard > EBITDA > Total SG&A > SG&A - Non-People Expenses > SG&A Other
5095000,SG&A Other,SG&A - Non-People Expenses,Dent Wizard > EBITDA > Total SG&A > SG&A - Non-People Expenses > SG&A Other
5096000,SG&A Other,SG&A - Non-People Expenses,Dent Wizard > EBITDA > Total SG&A > SG&A - Non-People Expenses > SG&A Other
5097000,SG&A Other,SG&A - Non-People Expenses,Dent Wizard > EBITDA > Total SG&A > SG&A - Non-People Expenses > SG&A Other
5098000,SG&A Other,SG&A - Non-People Expenses,Dent Wizard > EBITDA > Total SG&A > SG&A - Non-People Expenses > SG&A Other
5099000,SG&A Other,SG&A - Non-People Expenses,Dent Wizard > EBITDA > Total SG&A > SG&A - Non-People Expenses > SG&A Other
5100000,SG&A Other,SG&A - Non-People Expenses,Dent Wizard > EBITDA > Total SG&A > SG&A - Non-People Expenses > SG&A Other
5100100,SG&A Other,SG&A - Non-People Expenses,Dent Wizard > EBITDA > Total SG&A > SG&A - Non-People Expenses > SG&A Other
5101500,SG&A Other,SG&A - Non-People Expenses,Dent Wizard > EBITDA > Total SG&A > SG&A - Non-People Expenses > SG&A Other
5102000,SG&A Other,SG&A - Non-People Expenses,Dent Wizard > EBITDA > Total SG&A > SG&A - Non-People Expenses > SG&A Other
5079000,Bad Debt,SG&A - Non-People Expenses,Dent Wizard > EBITDA > Total SG&A > SG&A - Non-People Expenses > Bad Debt
